CAD,DEPARTAMENTO,MUNICIPIO,CULTIVO,A�O,AREA COSE,PRODUCCION,RENDIMIENTO,ESTADO FIS,CICLO CUL
15,BOYACA,VENTAQUEMADA,PAPA,2006,1750,30000,17.14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SIACHOQUE,PAPA,2006,1650,23100,14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,UMBITA,PAPA,2006,1050,18000,17.14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TUTAZA,PAPA,2006,970,22000,22.68,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHIQUIZA,PAPA,2006,701,14020,20,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TOCA,PAPA,2006,680,10200,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TUNJA,PAPA,2006,650,10400,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TOTA,PAPA,2006,560,8960,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,BELEN,PAPA,2006,520,8840,17,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SAMACA,PAPA,2006,530,8500,16.04,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SABOYA,PAPA,2006,450,8500,18.89,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,COMBITA,PAPA,2006,430,5332,12.4,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,MONGUI,PAPA,2006,430,5500,12.79,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOGAMOSO,PAPA,2006,450,4950,11,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SORACA,PAPA,2006,350,9800,28,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,VIRACACHA,PAPA,2006,350,5250,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,MOTAVITA,PAPA,2006,340,6800,20,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TURMEQUE,PAPA,2006,190,2425,12.76,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,AQUITANIA,PAPA,2006,280,8400,30,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PESCA,PAPA,2006,300,4800,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CIENEGA,PAPA,2006,170,3565,20.97,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,BOYACA,PAPA,2006,200,2400,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CALDAS,PAPA,2006,250,2850,11.4,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,EL COCUY,PAPA,2006,250,3500,14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SUSACON,PAPA,2006,240,3840,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,GAMEZA,PAPA,2006,230,3680,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOCOTA,PAPA,2006,241,3120,12.95,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHIVATA,PAPA,2006,210,2970,14.14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CUCAITA,PAPA,2006,150,1800,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHIQUINQUIRA,PAPA,2006,230,2990,13,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,ARCABUCO,PAPA,2006,220,5500,25,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOTAQUIRA,PAPA,2006,215,3340,15.53,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,FIRAVITOBA,PAPA,2006,185,3070,16.59,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TASCO,PAPA,2006,140,2240,16,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PAUNA,PAPA,2006,150,2250,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,RAMIRIQUI,PAPA,2006,79,1152,14.66,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOCHA,PAPA,2006,118,1416,12,TUBERCULO FRESCO,TRANSITORIO
