CAD,DEPARTAMENTO,MUNICIPIO,CULTIVO,A�O,AREA COSE,PRODUCCION,RENDIMIENTO,ESTADO FIS,CICLO CUL
86,PUTUMAYO,ORITO,CAUCHO,2007,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2008,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2009,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2010,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2011,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2012,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2013,0,0,,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2014,30,25,0.83,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2015,30,3,0.1,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2016,30,24,0.8,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2017,30,24,0.8,LATEX SECO,PERMANENTE
86,PUTUMAYO,ORITO,CAUCHO,2018,30,24,0.8,LATEX SECO,PERMANENTE
